,Faceta,gamma,seed,O,O',P(O|x),X,ResonantW,DisonantW
0,openness,0.25,White pure linen curtain,-1,-1,0.488967836,"White pure linen curtain cloth with white linen ribbon.

A very simple white linen dress. Very pretty, but with a very low quality (a good quality linen dress can be a beautiful piece of cloth).","quality,quality,piece",simple
1,openness,0.25,Papaya body cream,-1,-1,0.393466413,Papaya body cream has become a popular alternative to traditional beauty products as the trend has taken over the beauty market. It also uses coconut oil for its base and has become popular for its health benefits.,"alternative,beauty,taken,beauty",traditional
2,openness,0.25,Natural cream,-1,-1,0.379543155,"Natural cream has been used to treat an extremely common disease in the US, and for the last few years, there's been a growing movement to make it a more common, and better, treatment for it too.",growing,"common,common"
3,openness,0.25,The LED display is 28% brighter,-1,-1,0.369053155,"The LED display is 28% brighter than the OLED screen. The contrast ratio of the display is 3 times higher than that of LCD screen.

The display is 28% brighter than the OLED screen.","brighter,brighter",higher
4,openness,0.25,Electric scooters the electric transition is underway,-1,-1,0.348346323,"Electric scooters the electric transition is underway, with some states now on the road with bike share and electric vehicles being sold, but there's another way to get around the cities with little to no regard for your comfort — a lot more than just scooters.","transition,regard",way
5,openness,0.25,Move freely while listening to your favorite music,-1,-1,0.717592776,"Move freely while listening to your favorite music, with the new Soundtrack Play app on iOS and iPod touch. With Soundtrack Play, you can navigate songs or music tracks on the way to play on your iPhone from your computer.",tracks,way
6,openness,0.25,Your dark clothes should stay dark wash after wash,-1,-1,0.443963379,"Your dark clothes should stay dark wash after wash after wash, and you should not wear your light and light touch clothes at the same time. This is the rule of the dark clothing, or dark or light, as I call it.",call,rule
7,openness,0.25,The reno 34 shoulder bag (orange) is perfect for carrying your equipment,-1,-1,0.542525649,"The reno 34 shoulder bag (orange) is perfect for carrying your equipment, gear and gear that can't fit in the bag. With the added capacity, it also gives you an additional way of easily and securely storing all of your gear, including your bike and bike bags.",,way
8,openness,0.25,Mini camera for kids equipped with a high-definition display,-1,1,0.214708611,Mini camera for kids equipped with a high-definition display. This is a high quality mini camera.,quality,high
9,openness,0.25,"The neo qled TVs feature the new mini LEDs, which control the light",-1,-1,0.480401993,"The neo qled TVs feature the new mini LEDs, which control the light output of the TV from 2 x 2 LED's. This LED technology allows the LED's to be easily connected to any TV or monitor with a simple plug-and-play setup.",control,simple
